Clock Amplitude: 8.50 	Wavelength: 200 	Period: 1
CellID: 1.00 	 Neighbors: 2  4  5  6
CellID: 2.00 	 Neighbors: 1  5  6  7
CellID: 3.00 	 Neighbors: 8  9
CellID: 4.00 	 Neighbors: 1  5  8  9
CellID: 5.00 	 Neighbors: 1  2  4  9
CellID: 6.00 	 Neighbors: 1  2  7
CellID: 7.00 	 Neighbors: 2  6
CellID: 8.00 	 Neighbors: 3  4  9
CellID: 9.00 	 Neighbors: 3  4  5  8
13; 1.00 ;-0.00; 0.00; 4.0161; 2.00 ;-0.00; 0.00; 4.0578; 3.00 ;1.00; 1.00; 3.7491; 4.00 ;0.00; 0.01; 3.9208; 5.00 ;0.00; 0.00; 3.9704; 6.00 ;0.00; 0.00; 4.0954; 7.00 ;-0.00; 0.00; 4.1291; 8.00 ;-0.00; 0.00; 3.8101; 9.00 ;-0.00; 0.01; 3.8674; 
14; 1.00 ;-0.00; 0.01; 3.9572; 2.00 ;-0.00; 0.00; 4.0039; 3.00 ;1.00; 1.00; 3.6660; 4.00 ;0.00; 0.01; 3.8521; 5.00 ;0.00; 0.01; 3.9066; 6.00 ;0.00; 0.00; 4.0467; 7.00 ;-0.00; 0.00; 4.0855; 8.00 ;-0.00; 0.00; 3.7317; 9.00 ;-0.00; 0.01; 3.7938; 
15; 1.00 ;-0.00; 0.01; 3.8920; 2.00 ;-0.00; 0.01; 3.9437; 3.00 ;1.00; 1.00; 3.5770; 4.00 ;0.00; 0.01; 3.7771; 5.00 ;0.00; 0.01; 3.8365; 6.00 ;-0.00; 0.00; 3.9915; 7.00 ;-0.00; 0.00; 4.0354; 8.00 ;-0.00; 0.00; 3.6473; 9.00 ;-0.00; 0.01; 3.7141; 
16; 1.00 ;-0.00; 0.01; 3.8206; 2.00 ;-0.00; 0.01; 3.8772; 3.00 ;1.00; 1.00; 3.4823; 4.00 ;0.00; 0.01; 3.6962; 5.00 ;0.00; 0.01; 3.7602; 6.00 ;0.00; 0.01; 3.9299; 7.00 ;0.00; 0.00; 3.9788; 8.00 ;-0.00; 0.00; 3.5571; 9.00 ;-0.00; 0.01; 3.6284; 
17; 1.00 ;-0.00; 0.01; 3.7430; 2.00 ;-0.00; 0.01; 3.8044; 3.00 ;1.00; 1.00; 3.3821; 4.00 ;0.00; 0.01; 3.6093; 5.00 ;0.00; 0.01; 3.6780; 6.00 ;0.00; 0.01; 3.8621; 7.00 ;-0.00; 0.01; 3.9159; 8.00 ;-0.00; 0.00; 3.4612; 9.00 ;-0.00; 0.01; 3.5370; 
18; 1.00 ;-0.00; 0.01; 3.6595; 2.00 ;-0.00; 0.01; 3.7256; 3.00 ;1.00; 1.00; 3.2764; 4.00 ;0.00; 0.01; 3.5166; 5.00 ;0.00; 0.01; 3.5898; 6.00 ;0.00; 0.01; 3.7880; 7.00 ;0.00; 0.01; 3.8467; 8.00 ;-0.00; 0.01; 3.3598; 9.00 ;-0.00; 0.01; 3.4399; 
19; 1.00 ;-0.00; 0.01; 3.5701; 2.00 ;-0.00; 0.01; 3.6408; 3.00 ;1.00; 1.00; 3.1655; 4.00 ;0.00; 0.01; 3.4183; 5.00 ;0.00; 0.01; 3.4959; 6.00 ;-0.00; 0.01; 3.7079; 7.00 ;-0.00; 0.01; 3.7713; 8.00 ;-0.00; 0.01; 3.2530; 9.00 ;-0.00; 0.01; 3.3373; 
20; 1.00 ;-0.00; 0.01; 3.4750; 2.00 ;-0.00; 0.01; 3.5501; 3.00 ;1.00; 1.00; 3.0495; 4.00 ;0.00; 0.01; 3.3145; 5.00 ;0.00; 0.01; 3.3964; 6.00 ;0.00; 0.01; 3.6218; 7.00 ;-0.00; 0.01; 3.6898; 8.00 ;-0.00; 0.01; 3.1409; 9.00 ;-0.00; 0.01; 3.2293; 
21; 1.00 ;-0.00; 0.01; 3.3743; 2.00 ;-0.00; 0.01; 3.4538; 3.00 ;1.00; 1.00; 2.9286; 4.00 ;0.00; 0.01; 3.2054; 5.00 ;0.00; 0.01; 3.2915; 6.00 ;0.00; 0.01; 3.5299; 7.00 ;0.00; 0.01; 3.6025; 8.00 ;-0.00; 0.01; 3.0239; 9.00 ;-0.00; 0.01; 3.1162; 
22; 1.00 ;-0.00; 0.01; 3.2682; 2.00 ;-0.00; 0.01; 3.3520; 3.00 ;1.00; 1.00; 2.8030; 4.00 ;0.00; 0.01; 3.0912; 5.00 ;0.00; 0.01; 3.1813; 6.00 ;-0.00; 0.01; 3.4324; 7.00 ;0.00; 0.01; 3.5094; 8.00 ;-0.00; 0.01; 2.9020; 9.00 ;-0.00; 0.01; 2.9981; 
